"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-09-15","Ryan Additon","MIN","CIN","9","2","147","6","15.3","141","131.7","9.3","95.9","89.6","6.3","94.6","0.06","0.6"
"","2024-09-15","CB Bucknor","LAA","HOU","4","6","157","9","9.3","148","147.7","0.3","94.3","94.1","0.2","93","0.78","1.56"
"","2024-09-15","Derek Thomas","DET","BAL","4","2","135","4","6","131","129","2","97","95.6","1.5","96.3","0.15","0.69"
"","2024-09-15","Mark Ripperger","CWS","OAK","4","3","103","6","3.9","97","99.1","-2.1","94.2","96.2","-2","96.1","-0.27","0.71"
"","2024-09-15","David Rackley","COL","CHC","2","6","201","17","18.6","184","182.4","1.6","91.5","90.8","0.8","93.5","0.26","2.42"
"","2024-09-15","Alan Porter","CLE","TB","2","0","124","3","5.5","121","118.5","2.5","97.6","95.6","2","96.8","0.11","0.27"
"","2024-09-15","Erich Bacchus","AZ","MIL","11","10","228","18","17.6","210","210.4","-0.4","92.1","92.3","-0.2","90.8","-0.68","3"
"","2024-09-15","Dan Merzel","ATL","LAD","2","9","149","11","11.1","138","137.9","0.1","92.6","92.6","0.1","94","0.55","1.23"
"","2024-09-14","John Bacon","WSH","MIA","4","1","139","8","8.7","131","130.3","0.7","94.2","93.8","0.5","95","-0.23","1.31"
"","2024-09-14","Dan Bellino","TOR","STL","7","2","157","8","9.7","149","147.3","1.7","94.9","93.8","1.1","95.5","-0.53","0.75"
"","2024-09-14","Clint Vondrak","SF","SD","0","8","147","7","7.3","140","139.7","0.3","95.2","95.1","0.2","95.9","-0.25","0.69"
"","2024-09-14","Bill Miller","SEA","TEX","5","4","147","9","8.2","138","138.8","-0.8","93.9","94.5","-0.6","92.5","1.44","2"
"","2024-09-14","Chad Fairchild","PIT","KC","1","5","152","18","10.6","134","141.4","-7.4","88.2","93","-4.9","92.1","0.75","3.57"
